Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,14.12.2018,SC Braga,CD Feirense,4,0,H,2,0,H,16,4,6,1,19,16,4,4,0,1,0,0
P1,15.12.2018,CD Aves,Vitória Guimarães,1,1,D,1,1,D,15,13,5,6,20,14,10,5,2,0,0,0
P1,15.12.2018,Boavista FC,CD Tondela,2,0,H,2,0,H,18,10,6,3,25,19,5,10,2,4,0,0
P1,15.12.2018,GD Chaves,Moreirense FC,1,2,A,0,0,D,8,13,1,5,18,18,2,6,0,2,0,0
P1,15.12.2018,Santa Clara,FC Porto,1,2,A,1,1,D,10,14,3,8,21,24,6,8,1,3,0,0
P1,16.12.2018,Clube Sport Marítimo,SL Benfica,0,1,A,0,1,A,6,14,0,5,18,12,4,7,5,3,0,0
P1,16.12.2018,Rio Ave FC,Os Belenenses,2,2,D,1,0,H,8,12,1,4,20,19,6,6,3,1,0,0
P1,16.12.2018,Sporting CP,CD Nacional,5,2,H,1,2,A,20,15,9,5,26,9,6,7,3,3,0,0
P1,22.12.2018,Os Belenenses,CD Aves,5,2,H,2,2,D,12,7,8,4,13,20,3,5,0,1,0,0
P1,22.12.2018,CD Feirense,Portimonense SC,0,1,A,0,0,D,12,16,2,6,19,13,1,5,4,4,0,0
P1,22.12.2018,Moreirense FC,Boavista FC,2,1,H,2,1,H,13,12,6,4,21,14,7,2,3,5,0,1
P1,22.12.2018,Vitória de Setúbal,Santa Clara,0,2,A,0,1,A,8,10,5,3,31,16,5,2,4,4,0,0
P1,22.12.2018,CD Tondela,Clube Sport Marítimo,2,1,H,1,1,D,15,10,6,2,16,19,6,3,4,3,0,1
P1,23.12.2018,SL Benfica,SC Braga,6,2,H,2,0,H,13,11,8,5,15,17,8,2,1,3,0,0
P1,23.12.2018,Vitória Guimarães,Sporting CP,1,0,H,1,0,H,19,17,7,2,13,15,10,7,3,3,0,0
P1,23.12.2018,CD Nacional,GD Chaves,2,0,H,1,0,H,10,11,3,3,18,20,7,4,3,4,0,0
P1,23.12.2018,FC Porto,Rio Ave FC,2,1,H,2,1,H,17,7,4,4,16,18,4,2,1,4,0,1
P1,2.01.2019,Boavista FC,Vitória de Setúbal,1,0,H,0,0,D,12,16,3,7,19,19,4,7,6,4,2,0
P1,2.01.2019,CD Nacional,Vitória Guimarães,1,0,H,1,0,H,11,6,3,2,17,15,4,3,3,4,0,0
P1,2.01.2019,Portimonense SC,SL Benfica,2,0,H,2,0,H,9,14,5,3,15,13,3,8,2,2,0,1
P1,2.01.2019,Rio Ave FC,Moreirense FC,1,2,A,1,0,H,12,15,3,4,12,17,5,10,3,3,0,0
P1,2.01.2019,Santa Clara,CD Tondela,1,2,A,0,0,D,9,12,4,4,20,19,4,1,3,3,1,0
P1,2.01.2019,SC Braga,Clube Sport Marítimo,2,0,H,2,0,H,14,6,5,1,14,17,6,1,2,1,0,0
P1,3.01.2019,CD Aves,FC Porto,0,1,A,0,1,A,13,10,2,4,22,20,4,4,2,1,0,0
P1,3.01.2019,GD Chaves,CD Feirense,0,0,D,0,0,D,12,6,4,1,14,26,7,5,2,3,0,0
