Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,9.12.2018,Borussia Mönchengladbach,VfB Stuttgart,3,0,H,0,0,D,23,7,7,2,7,12,7,4,2,4,0,1
D1,14.12.2018,1. FC Nürnberg,VfL Wolfsburg,0,2,A,0,0,D,11,10,0,4,13,13,6,3,2,1,0,0
D1,15.12.2018,FC Augsburg,FC Schalke 04 04,1,1,D,1,0,H,17,15,9,5,17,8,6,7,2,1,0,0
D1,15.12.2018,Borussia Dortmund,SV Werder Bremen,2,1,H,2,1,H,16,9,9,5,11,14,4,10,1,4,0,0
D1,15.12.2018,Fortuna Düsseldorf,SC Freiburg,2,0,H,0,0,D,20,6,8,2,13,9,4,1,2,1,0,0
D1,15.12.2018,Hannover 96,FC Bayern München,0,4,A,0,2,A,3,32,0,14,9,5,0,14,1,0,0,0
D1,15.12.2018,TSG 1899 Hoffenheim,Borussia Mönchengladbach,0,0,D,0,0,D,27,5,6,1,9,10,6,2,0,2,0,0
D1,15.12.2018,VfB Stuttgart,Hertha BSC,2,1,H,0,1,A,9,15,4,3,11,13,5,5,1,3,0,0
D1,16.12.2018,Eintracht Frankfurt,Bayer 04 Leverkusen,2,1,H,1,0,H,17,12,7,6,9,8,10,7,6,2,0,0
D1,16.12.2018,RB Leipzig,1. FSV Mainz 05,4,1,H,2,1,H,17,11,7,5,9,13,6,2,3,3,0,0
D1,18.12.2018,Fortuna Düsseldorf,Borussia Dortmund,2,1,H,1,0,H,8,11,3,3,8,13,2,2,1,2,0,0
D1,18.12.2018,Hertha BSC,FC Augsburg,2,2,D,2,2,D,17,8,7,2,17,13,3,2,1,0,0,0
D1,18.12.2018,Borussia Mönchengladbach,1. FC Nürnberg,2,0,H,0,0,D,17,7,7,2,5,19,6,7,2,3,0,0
D1,18.12.2018,VfL Wolfsburg,VfB Stuttgart,2,0,H,2,0,H,16,11,5,1,10,17,4,8,1,2,0,0
D1,19.12.2018,FC Bayern München,RB Leipzig,1,0,H,0,0,D,10,8,4,2,9,20,5,5,2,2,1,1
D1,19.12.2018,SC Freiburg,Hannover 96,1,1,D,1,1,D,14,18,7,3,13,14,5,2,0,2,0,0
D1,19.12.2018,1. FSV Mainz 05,Eintracht Frankfurt,2,2,D,2,2,D,17,12,6,4,13,15,3,2,3,3,0,0
D1,19.12.2018,FC Schalke 04 04,Bayer 04 Leverkusen,1,2,A,1,2,A,18,8,4,5,14,19,7,1,4,4,0,0
D1,19.12.2018,SV Werder Bremen,TSG 1899 Hoffenheim,1,1,D,0,1,A,26,14,5,4,7,13,6,3,0,1,0,0
D1,21.12.2018,Borussia Dortmund,Borussia Mönchengladbach,2,1,H,1,1,D,12,3,4,2,5,12,4,2,0,1,0,0
D1,22.12.2018,Eintracht Frankfurt,FC Bayern München,0,3,A,0,1,A,10,9,3,7,9,4,3,4,2,1,0,0
