Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,20.10.2018,FC Utrecht,AZ Alkmaar,2,1,H,1,1,D,15,13,6,8,7,12,7,4,1,2,0,0
N1,21.10.2018,Feyenoord,PEC Zwolle,3,0,H,2,0,H,17,17,11,5,9,9,7,3,1,0,0,0
N1,21.10.2018,Fortuna Sittard,De Graafschap,3,1,H,1,0,H,22,11,11,3,12,10,4,2,2,2,0,0
N1,21.10.2018,Heracles Almelo,FC Groningen,4,1,H,1,1,D,13,11,8,4,6,12,3,1,0,2,0,0
N1,21.10.2018,NAC Breda,Willem II,2,2,D,1,2,A,6,8,3,3,15,17,1,6,0,0,0,0
N1,21.10.2018,VVV-Venlo,ADO Den Haag,2,0,H,1,0,H,22,12,7,2,13,20,4,3,2,3,0,0
N1,26.10.2018,FC Emmen,VVV-Venlo,1,1,D,0,1,A,28,5,8,2,13,11,9,0,1,2,0,1
N1,27.10.2018,ADO Den Haag,NAC Breda,1,1,D,1,1,D,17,7,4,3,7,14,5,1,0,2,0,0
N1,27.10.2018,De Graafschap,Excelsior,4,1,H,1,1,D,13,14,6,4,19,11,3,3,1,2,0,1
N1,27.10.2018,FC Groningen,PSV,1,2,A,1,1,D,14,19,3,5,14,9,2,6,3,0,0,0
N1,27.10.2018,PEC Zwolle,Heracles Almelo,1,1,D,0,1,A,24,8,6,3,10,14,6,6,2,3,0,0
N1,28.10.2018,Ajax,Feyenoord,3,0,H,2,0,H,28,8,10,2,8,10,13,6,1,2,0,1
N1,28.10.2018,AZ Alkmaar,SC Heerenveen,2,3,A,1,1,D,15,11,7,6,12,12,6,1,2,3,0,0
N1,28.10.2018,Vitesse,Fortuna Sittard,2,1,H,1,1,D,12,10,6,2,13,12,2,7,3,2,0,0
N1,28.10.2018,Willem II,FC Utrecht,0,1,A,0,0,D,8,19,0,8,21,10,9,6,2,2,0,0
N1,2.11.2018,Excelsior,FC Groningen,2,4,A,1,2,A,10,15,4,8,8,10,3,5,1,0,0,0
N1,3.11.2018,Ajax,Willem II,2,0,H,2,0,H,21,3,10,0,7,10,5,1,0,1,0,0
N1,3.11.2018,AZ Alkmaar,De Graafschap,1,0,H,0,0,D,18,3,6,0,9,9,7,1,1,0,0,0
N1,3.11.2018,NAC Breda,Heracles Almelo,2,1,H,1,0,H,9,21,2,5,10,8,6,4,1,2,0,0
N1,3.11.2018,PSV,Vitesse,1,0,H,0,0,D,14,7,6,1,17,10,7,2,2,2,0,1
N1,4.11.2018,Fortuna Sittard,PEC Zwolle,3,0,H,1,0,H,17,10,6,4,11,12,12,3,1,2,0,0
N1,4.11.2018,SC Heerenveen,FC Emmen,1,1,D,1,0,H,17,17,6,6,11,13,3,2,2,1,0,0
N1,4.11.2018,FC Utrecht,ADO Den Haag,3,0,H,1,0,H,14,11,5,5,15,9,5,6,3,2,0,0
