Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
T1,3.11.2018,Akhisar Belediyespor,BB Erzurumspor,1,1,D,1,1,D,10,5,5,1,13,16,3,2,2,1,0,0
T1,3.11.2018,Medipol Baþakþehir FK,Beþiktaþ JK,1,0,H,1,0,H,9,15,3,3,14,14,3,9,2,2,0,0
T1,3.11.2018,Kasimpaþa SK,Antalyaspor,1,2,A,1,1,D,19,9,6,6,12,14,7,3,2,4,0,0
T1,4.11.2018,Alanyaspor,Yeni Malatyaspor,0,1,A,0,1,A,17,2,6,1,20,20,10,0,2,3,0,0
T1,4.11.2018,MKE Ankaragücü,Kayserispor,3,1,H,2,0,H,10,11,5,2,18,18,3,6,0,4,0,1
T1,4.11.2018,Trabzonspor,Bursaspor,1,1,D,1,0,H,17,14,6,6,16,16,3,6,2,2,0,0
T1,5.11.2018,Göztepe SK,Çaykur Rizespor,2,0,H,1,0,H,12,13,6,2,11,8,6,13,0,1,0,0
T1,5.11.2018,Sivasspor,Atiker Konyaspor,0,0,D,0,0,D,17,10,3,2,23,13,12,3,2,4,0,1
T1,9.11.2018,Yeni Malatyaspor,Trabzonspor,5,0,H,2,0,H,10,15,6,5,14,6,2,2,1,1,0,0
T1,10.11.2018,BB Erzurumspor,Göztepe SK,2,1,H,1,0,H,7,9,4,3,14,9,2,6,2,2,0,0
T1,10.11.2018,Kayserispor,Galatasaray SK,0,3,A,0,1,A,12,11,3,6,13,9,4,3,5,3,1,0
T1,10.11.2018,Atiker Konyaspor,MKE Ankaragücü,2,0,H,0,0,D,15,7,3,2,15,16,3,4,1,2,0,0
T1,10.11.2018,Çaykur Rizespor,Medipol Baþakþehir FK,1,2,A,0,0,D,6,13,2,4,14,10,4,4,2,1,0,0
T1,11.11.2018,Antalyaspor,Akhisar Belediyespor,1,2,A,0,0,D,17,5,6,3,10,17,8,7,3,1,0,0
T1,11.11.2018,Beþiktaþ JK,Sivasspor,1,2,A,1,1,D,9,10,2,3,14,14,6,5,4,3,0,0
T1,11.11.2018,Bursaspor,Kasimpaþa SK,1,2,A,1,1,D,24,10,4,4,17,14,6,6,3,1,0,0
T1,11.11.2018,Fenerbahçe SK,Alanyaspor,2,0,H,2,0,H,12,10,5,3,11,17,3,6,2,2,0,0
T1,23.11.2018,Galatasaray SK,Atiker Konyaspor,1,1,D,0,0,D,13,8,2,2,12,14,0,3,1,3,1,0
T1,24.11.2018,Alanyaspor,Kayserispor,5,0,H,1,0,H,15,5,10,1,20,11,9,2,3,5,0,0
T1,24.11.2018,MKE Ankaragücü,Beþiktaþ JK,1,4,A,0,3,A,15,15,4,6,18,15,4,5,2,2,0,0
T1,24.11.2018,BB Erzurumspor,Antalyaspor,1,0,H,0,0,D,14,7,2,1,12,12,7,3,3,0,0,0
T1,25.11.2018,Akhisar Belediyespor,Bursaspor,2,4,A,2,1,H,6,19,3,7,13,11,3,7,0,2,0,0
T1,25.11.2018,Kasimpaþa SK,Yeni Malatyaspor,3,0,H,1,0,H,21,17,9,2,19,9,7,4,2,1,0,0
T1,25.11.2018,Sivasspor,Çaykur Rizespor,1,1,D,0,0,D,25,9,6,4,14,7,19,3,2,3,1,0
T1,25.11.2018,Trabzonspor,Fenerbahçe SK,2,1,H,0,0,D,26,11,8,3,11,17,6,6,3,3,0,0
T1,26.11.2018,Göztepe SK,Medipol Baþakþehir FK,0,2,A,0,1,A,15,15,4,7,8,13,7,1,4,3,0,0
T1,30.11.2018,Atiker Konyaspor,Alanyaspor,2,0,H,0,0,D,9,8,4,2,10,10,2,3,3,2,0,1
T1,30.11.2018,Çaykur Rizespor,MKE Ankaragücü,1,1,D,0,1,A,21,10,6,4,12,6,7,2,3,2,0,0
T1,1.12.2018,Antalyaspor,Göztepe SK,1,0,H,1,0,H,8,15,4,3,17,17,6,4,1,1,0,0
T1,1.12.2018,Medipol Baþakþehir FK,Sivasspor,0,1,A,0,1,A,16,9,2,1,8,15,6,0,3,3,0,0
T1,1.12.2018,Kayserispor,Trabzonspor,0,2,A,0,0,D,7,18,2,7,15,16,2,5,5,1,0,0
T1,2.12.2018,Beþiktaþ JK,Galatasaray SK,1,0,H,1,0,H,14,10,5,2,21,14,6,5,4,4,0,0
T1,2.12.2018,Bursaspor,BB Erzurumspor,2,1,H,1,1,D,13,8,4,2,19,13,2,3,2,1,0,0
T1,3.12.2018,Fenerbahçe SK,Kasimpaþa SK,2,2,D,2,1,H,21,16,3,3,11,19,8,2,3,1,0,0
T1,3.12.2018,Yeni Malatyaspor,Akhisar Belediyespor,1,1,D,1,0,H,9,7,3,3,16,13,0,0,4,3,0,0
T1,7.12.2018,Alanyaspor,Beþiktaþ JK,0,0,D,0,0,D,13,9,3,3,15,16,7,10,3,2,0,0
T1,8.12.2018,Galatasaray SK,Çaykur Rizespor,2,2,D,1,0,H,20,18,8,8,11,12,8,4,2,1,0,0
T1,8.12.2018,Sivasspor,Göztepe SK,2,0,H,0,0,D,15,7,6,1,13,13,7,3,3,4,0,1
T1,8.12.2018,Trabzonspor,Atiker Konyaspor,3,0,H,0,0,D,18,7,6,2,13,13,5,2,2,3,0,0
T1,9.12.2018,Akhisar Belediyespor,Fenerbahçe SK,3,0,H,1,0,H,12,16,4,4,13,7,2,7,2,1,0,0
T1,9.12.2018,Bursaspor,Antalyaspor,0,2,A,0,2,A,13,6,4,3,21,11,9,0,4,1,0,0
T1,9.12.2018,BB Erzurumspor,Yeni Malatyaspor,1,3,A,1,0,H,15,9,5,5,10,15,9,4,0,3,0,0
T1,10.12.2018,MKE Ankaragücü,Medipol Baþakþehir FK,0,1,A,0,1,A,8,15,1,8,10,14,0,7,0,1,0,0
T1,10.12.2018,Kasimpaþa SK,Kayserispor,0,3,A,0,1,A,25,17,5,10,13,15,11,3,3,2,0,0
T1,14.12.2018,Göztepe SK,Bursaspor,0,0,D,0,0,D,8,6,2,3,15,13,3,6,1,3,0,0
T1,15.12.2018,Medipol Baþakþehir FK,Galatasaray SK,1,1,D,1,1,D,17,9,5,4,12,13,7,2,4,2,0,0
T1,15.12.2018,Atiker Konyaspor,Kasimpaþa SK,3,2,H,0,0,D,10,20,3,6,9,10,3,8,2,6,0,0
T1,15.12.2018,Çaykur Rizespor,Alanyaspor,1,1,D,0,1,A,16,16,8,6,19,17,9,5,4,3,0,0
T1,15.12.2018,Sivasspor,MKE Ankaragücü,4,0,H,2,0,H,19,10,8,4,13,12,9,6,1,4,0,0
T1,16.12.2018,Beþiktaþ JK,Trabzonspor,2,2,D,0,1,A,18,14,8,7,16,14,10,8,3,1,0,0
T1,16.12.2018,Kayserispor,Akhisar Belediyespor,1,0,H,0,0,D,13,7,5,2,19,8,3,6,2,1,0,0
T1,16.12.2018,Yeni Malatyaspor,Antalyaspor,2,0,H,2,0,H,12,8,3,1,16,18,2,2,2,4,1,1
T1,17.12.2018,Fenerbahçe SK,BB Erzurumspor,2,2,D,2,0,H,14,6,5,3,11,17,7,1,0,3,0,0
T1,22.12.2018,Alanyaspor,Medipol Baþakþehir FK,1,1,D,0,1,A,13,12,7,6,13,12,1,3,3,2,1,0
T1,22.12.2018,MKE Ankaragücü,Göztepe SK,0,3,A,0,0,D,13,11,1,4,16,18,4,3,2,1,0,0
T1,22.12.2018,Kasimpaþa SK,Beþiktaþ JK,4,1,H,2,0,H,12,16,7,6,14,15,4,3,3,3,0,0
T1,23.12.2018,Bursaspor,Yeni Malatyaspor,1,1,D,1,0,H,8,4,2,1,13,11,5,1,1,3,0,1
T1,23.12.2018,BB Erzurumspor,Kayserispor,1,1,D,1,1,D,20,7,5,3,14,12,5,3,2,6,0,0
T1,23.12.2018,Galatasaray SK,Sivasspor,4,2,H,2,2,D,15,16,5,7,18,4,7,5,2,2,0,0
T1,23.12.2018,Trabzonspor,Çaykur Rizespor,4,1,H,1,0,H,18,13,5,6,18,9,6,4,4,2,0,0
T1,24.12.2018,Akhisar Belediyespor,Atiker Konyaspor,0,0,D,0,0,D,8,10,3,3,14,15,0,4,3,3,0,0
T1,24.12.2018,Antalyaspor,Fenerbahçe SK,0,0,D,0,0,D,7,19,3,6,12,11,2,9,1,4,0,1
T1,18.01.2019,Akhisar Belediyespor,Beþiktaþ JK,1,3,A,0,1,A,15,11,5,5,12,18,8,2,3,4,0,0
T1,19.01.2019,Antalyaspor,Kayserispor,0,0,D,0,0,D,3,16,0,2,13,13,2,6,0,1,0,0
T1,19.01.2019,BB Erzurumspor,Atiker Konyaspor,1,2,A,0,1,A,14,10,3,4,11,15,8,4,3,4,0,0
T1,19.01.2019,Galatasaray SK,MKE Ankaragücü,6,0,H,3,0,H,23,11,10,3,13,13,0,2,3,3,0,0
T1,19.01.2019,Yeni Malatyaspor,Göztepe SK,3,2,H,2,2,D,9,10,5,3,13,11,2,11,1,1,0,0
T1,20.01.2019,Alanyaspor,Sivasspor,2,0,H,2,0,H,19,9,8,0,13,15,8,2,0,3,0,0
T1,20.01.2019,Trabzonspor,Medipol Baþakþehir FK,2,4,A,0,2,A,20,10,10,8,17,15,8,4,3,2,0,0
