,HomeTeam,AwayTeam,FTHG,FTAG,FTR
1049,Nîmes Olympique,OGC Nice,0,1,A
1050,AS Saint-Étienne,Stade de Reims,2,0,H
1051,Toulouse Football Club,Amiens SC,0,1,A
1052,FC Girondins de Bordeaux,Stade Malherbe Caen,0,0,D
1053,Olympique de Marseille,Dijon FCO,2,0,H
1054,AS Monaco,Paris Saint-Germain,0,4,A
1055,Stade Rennais FC,FC Nantes,1,1,D
1056,Olympique Lyonnais,AS Saint-Étienne,1,0,H
1057,Stade Malherbe Caen,AS Monaco,0,1,A
1058,Dijon FCO,FC Girondins de Bordeaux,0,0,D
1059,FC Nantes,Angers SCO,1,1,D
1060,Paris Saint-Germain,Toulouse Football Club,1,0,H
1061,Stade de Reims,En Avant de Guingamp,2,1,H
1062,RC Strasbourg Alsace,Nîmes Olympique,0,1,A
1063,Amiens SC,Olympique de Marseille,1,3,A
1064,Montpellier HSC,Stade Rennais FC,2,2,D
1065,OGC Nice,LOSC Lille,2,0,H
1066,AS Saint-Étienne,FC Nantes,3,0,H
1067,Angers SCO,Stade Malherbe Caen,1,1,D
1068,En Avant de Guingamp,OGC Nice,0,0,D
1069,LOSC Lille,Olympique Lyonnais,2,2,D
1070,AS Monaco,Montpellier HSC,1,2,A
1071,Nîmes Olympique,Amiens SC,3,0,H
1072,FC Girondins de Bordeaux,Paris Saint-Germain,2,2,D
1073,Olympique de Marseille,Stade de Reims,0,0,D
1074,Stade Rennais FC,RC Strasbourg Alsace,1,4,A
1075,Toulouse Football Club,Dijon FCO,2,2,D
1076,Amiens SC,AS Monaco,0,2,A
1077,Montpellier HSC,LOSC Lille,0,1,A
1078,OGC Nice,Angers SCO,0,0,D
1079,FC Girondins de Bordeaux,AS Saint-Étienne,3,2,H
1080,Stade Malherbe Caen,Nîmes Olympique,1,2,A
1081,Dijon FCO,En Avant de Guingamp,2,1,H
1082,Olympique Lyonnais,Stade Rennais FC,0,2,A
1083,FC Nantes,Olympique de Marseille,3,2,H
1084,Stade de Reims,Toulouse Football Club,0,1,A
1085,RC Strasbourg Alsace,Paris Saint-Germain,1,1,D
1086,En Avant de Guingamp,Amiens SC,1,2,A
1087,Stade Rennais FC,Dijon FCO,2,0,H
1088,LOSC Lille,Stade de Reims,1,1,D
1089,RC Strasbourg Alsace,Stade Malherbe Caen,2,2,D
1090,Stade de Reims,RC Strasbourg Alsace,2,1,H
1091,Olympique Lyonnais,AS Monaco,3,0,H
1092,OGC Nice,AS Saint-Étienne,1,1,D
1093,Nîmes Olympique,LOSC Lille,2,3,A
1094,Stade Malherbe Caen,Toulouse Football Club,2,1,H
1095,Angers SCO,Olympique de Marseille,1,1,D
1096,LOSC Lille,Toulouse Football Club,1,2,A
1097,AS Monaco,En Avant de Guingamp,0,2,A
1098,Montpellier HSC,Olympique Lyonnais,1,1,D
1099,Paris Saint-Germain,FC Nantes,1,0,H
1100,Stade de Reims,Stade Malherbe Caen,2,2,D
1101,Stade Rennais FC,Nîmes Olympique,4,0,H
1102,AS Saint-Étienne,Dijon FCO,3,0,H
1103,RC Strasbourg Alsace,OGC Nice,2,0,H
1104,FC Girondins de Bordeaux,Amiens SC,1,1,D
1105,Amiens SC,Angers SCO,0,0,D
1106,FC Nantes,Montpellier HSC,2,0,H
1107,Stade Malherbe Caen,LOSC Lille,1,3,A
1108,Olympique Lyonnais,Stade de Reims,1,1,D
1109,Amiens SC,Paris Saint-Germain,0,3,A
1110,En Avant de Guingamp,AS Saint-Étienne,0,1,A
1111,OGC Nice,FC Girondins de Bordeaux,1,0,H
1112,Dijon FCO,Montpellier HSC,1,1,D
1113,Olympique de Marseille,AS Monaco,1,1,D
1114,FC Nantes,Stade Rennais FC,0,1,A
1115,Toulouse Football Club,RC Strasbourg Alsace,1,2,A
1116,Angers SCO,FC Girondins de Bordeaux,1,2,A
1117,En Avant de Guingamp,Stade Rennais FC,2,1,H
1118,AS Monaco,OGC Nice,1,1,D
1119,Nîmes Olympique,FC Nantes,1,0,H
1120,AS Saint-Étienne,Olympique de Marseille,2,1,H
1121,Toulouse Football Club,Olympique Lyonnais,2,2,D
1122,LOSC Lille,Amiens SC,2,1,H
1123,AS Monaco,RC Strasbourg Alsace,1,5,A
1124,Nîmes Olympique,Toulouse Football Club,0,1,A
1125,Paris Saint-Germain,En Avant de Guingamp,9,0,H
1126,Stade de Reims,OGC Nice,1,1,D
1127,Angers SCO,FC Nantes,1,0,H
1128,FC Girondins de Bordeaux,Dijon FCO,1,0,H
1129,Stade Malherbe Caen,Olympique de Marseille,0,1,A
1130,Stade Rennais FC,Montpellier HSC,0,0,D
1131,AS Saint-Étienne,Olympique Lyonnais,1,2,A
1132,Nîmes Olympique,Angers SCO,3,1,H
1133,Olympique de Marseille,LOSC Lille,1,2,A
1134,Dijon FCO,AS Monaco,2,0,H
1135,En Avant de Guingamp,Stade de Reims,0,1,A
1136,OGC Nice,Nîmes Olympique,2,0,H
1137,RC Strasbourg Alsace,FC Girondins de Bordeaux,1,0,H
1138,Amiens SC,Olympique Lyonnais,0,1,A
1139,Montpellier HSC,Stade Malherbe Caen,2,0,H
1140,Paris Saint-Germain,Stade Rennais FC,4,1,H
1141,Toulouse Football Club,Angers SCO,0,0,D
1142,FC Nantes,AS Saint-Étienne,1,1,D
1143,LOSC Lille,OGC Nice,4,0,H
1144,Angers SCO,Dijon FCO,1,0,H
1145,AS Monaco,Toulouse Football Club,2,1,H
1146,Stade de Reims,Olympique de Marseille,2,1,H
1147,Stade Rennais FC,Amiens SC,1,0,H
1148,Olympique Lyonnais,Paris Saint-Germain,2,1,H
1149,Nîmes Olympique,Montpellier HSC,1,1,D
1150,Olympique de Marseille,FC Girondins de Bordeaux,1,0,H
1151,Dijon FCO,Olympique de Marseille,1,2,A
1152,Amiens SC,Stade Malherbe Caen,1,0,H
1153,Paris Saint-Germain,FC Girondins de Bordeaux,1,0,H
1154,RC Strasbourg Alsace,Angers SCO,1,2,A
1155,En Avant de Guingamp,LOSC Lille,0,2,A
1156,Montpellier HSC,AS Monaco,2,2,D
1157,FC Nantes,Nîmes Olympique,2,4,A
1158,OGC Nice,Olympique Lyonnais,1,0,H
1159,Stade Rennais FC,AS Saint-Étienne,3,0,H
1160,Toulouse Football Club,Stade de Reims,1,1,D
1161,Stade Malherbe Caen,FC Nantes,0,1,A
1162,AS Saint-Étienne,RC Strasbourg Alsace,2,1,H
1163,Olympique Lyonnais,En Avant de Guingamp,2,1,H
1164,Nîmes Olympique,Dijon FCO,2,0,H
1165,Angers SCO,OGC Nice,3,0,H
1166,Olympique de Marseille,Amiens SC,2,0,H
1167,AS Monaco,FC Nantes,1,0,H
1168,FC Girondins de Bordeaux,Toulouse Football Club,2,1,H
1169,Stade Malherbe Caen,RC Strasbourg Alsace,0,0,D
1170,LOSC Lille,Montpellier HSC,0,0,D
1171,Stade de Reims,Stade Rennais FC,2,0,H
1172,AS Saint-Étienne,Paris Saint-Germain,0,1,A
1173,FC Girondins de Bordeaux,En Avant de Guingamp,0,0,D
1174,Paris Saint-Germain,Montpellier HSC,5,1,H
1175,Dijon FCO,AS Saint-Étienne,0,1,A
1176,RC Strasbourg Alsace,LOSC Lille,1,1,D
1177,Amiens SC,OGC Nice,1,0,H
1178,En Avant de Guingamp,Angers SCO,1,0,H
1179,Paris Saint-Germain,Nîmes Olympique,3,0,H
1180,AS Monaco,Olympique Lyonnais,2,0,H
1181,Montpellier HSC,Stade de Reims,2,4,A
1182,FC Nantes,FC Girondins de Bordeaux,1,0,H
1183,Stade Rennais FC,Olympique de Marseille,1,1,D
1184,Toulouse Football Club,Stade Malherbe Caen,1,1,D
1185,Angers SCO,AS Monaco,2,2,D
1186,Stade Malherbe Caen,Paris Saint-Germain,1,2,A
1187,Stade de Reims,Amiens SC,2,2,D
1188,En Avant de Guingamp,FC Nantes,0,0,D
1189,LOSC Lille,Dijon FCO,1,0,H
1190,Olympique Lyonnais,Toulouse Football Club,5,1,H
1191,Olympique de Marseille,AS Saint-Étienne,2,0,H
1192,OGC Nice,RC Strasbourg Alsace,1,0,H
1193,FC Girondins de Bordeaux,Montpellier HSC,1,2,A
1194,Amiens SC,Nîmes Olympique,2,1,H
1195,Dijon FCO,Stade de Reims,1,1,D
1196,AS Monaco,FC Girondins de Bordeaux,1,1,D
1197,RC Strasbourg Alsace,Olympique Lyonnais,2,2,D
1198,Olympique de Marseille,OGC Nice,1,0,H
1199,Montpellier HSC,Angers SCO,2,2,D
1200,Stade Rennais FC,Stade Malherbe Caen,3,1,H
1201,AS Saint-Étienne,LOSC Lille,0,1,A
1202,Toulouse Football Club,En Avant de Guingamp,1,0,H
1203,Dijon FCO,Paris Saint-Germain,0,4,A
1204,LOSC Lille,AS Monaco,0,1,A
1205,OGC Nice,Toulouse Football Club,1,1,D
1206,Angers SCO,Amiens SC,0,0,D
1207,Stade Malherbe Caen,AS Saint-Étienne,0,5,A
1208,En Avant de Guingamp,Dijon FCO,1,0,H
1209,Nîmes Olympique,RC Strasbourg Alsace,2,2,D
1210,FC Girondins de Bordeaux,Stade Rennais FC,1,1,D
1211,Olympique Lyonnais,Montpellier HSC,3,2,H
1212,Paris Saint-Germain,Olympique de Marseille,3,1,H
1213,Stade de Reims,FC Nantes,1,0,H
1214,Stade Rennais FC,Olympique Lyonnais,0,1,A
1215,Olympique de Marseille,Angers SCO,2,2,D
1216,Amiens SC,FC Girondins de Bordeaux,0,0,D
1217,Dijon FCO,OGC Nice,0,1,A
1218,AS Monaco,Stade Malherbe Caen,0,1,A
1219,FC Nantes,LOSC Lille,2,3,A
1220,Toulouse Football Club,Paris Saint-Germain,0,1,A
1221,AS Saint-Étienne,Nîmes Olympique,2,1,H
1222,Montpellier HSC,En Avant de Guingamp,2,0,H
1223,RC Strasbourg Alsace,Stade de Reims,4,0,H
1224,FC Girondins de Bordeaux,Olympique de Marseille,2,0,H
1225,Amiens SC,AS Saint-Étienne,2,2,D
1226,Angers SCO,Stade Rennais FC,3,3,D
1227,En Avant de Guingamp,AS Monaco,1,1,D
1228,Olympique Lyonnais,Dijon FCO,1,3,A
1229,Nîmes Olympique,Stade Malherbe Caen,2,0,H
1230,OGC Nice,Montpellier HSC,1,0,H
1231,Paris Saint-Germain,RC Strasbourg Alsace,2,2,D
1232,Stade de Reims,LOSC Lille,1,1,D
1233,Toulouse Football Club,FC Nantes,1,0,H
1234,Nîmes Olympique,Stade Rennais FC,3,1,H
1235,Dijon FCO,Amiens SC,0,0,D
1236,FC Nantes,Olympique Lyonnais,2,1,H
1237,Stade Malherbe Caen,Angers SCO,0,1,A
1238,Olympique de Marseille,Nîmes Olympique,2,1,H
1239,AS Monaco,Stade de Reims,0,0,D
1240,RC Strasbourg Alsace,En Avant de Guingamp,3,3,D
1241,LOSC Lille,Paris Saint-Germain,5,1,H
1242,Montpellier HSC,Toulouse Football Club,2,1,H
1243,Stade Rennais FC,OGC Nice,0,0,D
1244,AS Saint-Étienne,FC Girondins de Bordeaux,3,0,H
1245,FC Nantes,Paris Saint-Germain,3,2,H
1246,Dijon FCO,Stade Rennais FC,3,2,H
1247,Olympique Lyonnais,Angers SCO,2,1,H
1248,En Avant de Guingamp,Olympique de Marseille,1,3,A
1249,OGC Nice,Stade Malherbe Caen,0,1,A
1250,Nîmes Olympique,FC Girondins de Bordeaux,2,1,H
1251,RC Strasbourg Alsace,Montpellier HSC,1,3,A
1252,FC Nantes,Amiens SC,3,2,H
1253,Paris Saint-Germain,AS Monaco,3,1,H
1254,Stade de Reims,AS Saint-Étienne,0,2,A
1255,Toulouse Football Club,LOSC Lille,0,0,D
1256,FC Girondins de Bordeaux,Olympique Lyonnais,2,3,A
1257,Amiens SC,RC Strasbourg Alsace,0,0,D
1258,Angers SCO,Stade de Reims,1,1,D
1259,Stade Malherbe Caen,Dijon FCO,1,0,H
1260,LOSC Lille,Nîmes Olympique,5,0,H
1261,Olympique de Marseille,FC Nantes,1,2,A
1262,OGC Nice,En Avant de Guingamp,3,0,H
1263,AS Saint-Étienne,Toulouse Football Club,2,0,H
1264,Montpellier HSC,Paris Saint-Germain,3,2,H
1265,Stade Rennais FC,AS Monaco,2,2,D
1266,RC Strasbourg Alsace,Olympique de Marseille,1,1,D
1267,FC Girondins de Bordeaux,Angers SCO,0,1,A
1268,En Avant de Guingamp,Stade Malherbe Caen,0,0,D
1269,Paris Saint-Germain,OGC Nice,1,1,D
1270,Stade de Reims,Nîmes Olympique,0,3,A
1271,Olympique Lyonnais,LOSC Lille,2,2,D
1272,AS Monaco,AS Saint-Étienne,2,3,A
1273,Montpellier HSC,Amiens SC,1,1,D
1274,FC Nantes,Dijon FCO,3,0,H
1275,Toulouse Football Club,Stade Rennais FC,2,2,D
1276,AS Saint-Étienne,Montpellier HSC,0,1,A
1277,Amiens SC,Toulouse Football Club,0,0,D
1278,Angers SCO,Paris Saint-Germain,1,2,A
1279,Stade Malherbe Caen,Stade de Reims,3,2,H
1280,Dijon FCO,RC Strasbourg Alsace,2,1,H
1281,OGC Nice,FC Nantes,1,1,D
1282,Nîmes Olympique,AS Monaco,1,0,H
1283,LOSC Lille,FC Girondins de Bordeaux,1,0,H
1284,Olympique de Marseille,Olympique Lyonnais,0,3,A
1285,Stade Rennais FC,En Avant de Guingamp,1,1,D
1286,FC Girondins de Bordeaux,Stade de Reims,0,1,A
1287,En Avant de Guingamp,Nîmes Olympique,2,2,D
1288,LOSC Lille,Angers SCO,5,0,H
1289,Olympique Lyonnais,Stade Malherbe Caen,4,0,H
1290,AS Monaco,Amiens SC,2,0,H
1291,Montpellier HSC,FC Nantes,1,1,D
1292,Paris Saint-Germain,Dijon FCO,4,0,H
1293,AS Saint-Étienne,OGC Nice,3,0,H
1294,RC Strasbourg Alsace,Stade Rennais FC,0,2,A
1295,Toulouse Football Club,Olympique de Marseille,2,5,A
1296,Amiens SC,En Avant de Guingamp,2,1,H
1297,Angers SCO,AS Saint-Étienne,1,1,D
1298,Stade Malherbe Caen,FC Girondins de Bordeaux,0,1,A
1299,Dijon FCO,Toulouse Football Club,2,1,H
1300,Olympique de Marseille,Montpellier HSC,1,0,H
1301,FC Nantes,RC Strasbourg Alsace,0,1,A
1302,OGC Nice,AS Monaco,2,0,H
1303,Nîmes Olympique,Olympique Lyonnais,2,3,A
1304,Stade de Reims,Paris Saint-Germain,3,1,H
1305,Stade Rennais FC,LOSC Lille,3,1,H
1306,Chievo Verona,Juventus,2,3,A
1307,Lazio,Napoli,1,2,A
1308,Bologna,Spal,0,1,A
1309,Empoli,Cagliari,2,0,H
1310,Parma,Udinese,2,2,D
1311,Sassuolo,Inter,1,0,H
1312,Torino,Roma,0,1,A
1313,Atalanta,Frosinone,4,0,H
1314,Juventus,Lazio,2,0,H
1315,Napoli,Milan,3,2,H
1316,Cagliari,Sassuolo,2,2,D
1317,Fiorentina,Chievo Verona,6,1,H
1318,Frosinone,Bologna,0,0,D
1319,Genoa,Empoli,2,1,H
1320,Inter,Torino,2,2,D
1321,Spal,Parma,1,0,H
1322,Udinese,Sampdoria,1,0,H
1323,Roma,Atalanta,3,3,D
1324,Milan,Roma,2,1,H
1325,Bologna,Inter,0,3,A
1326,Parma,Juventus,1,2,A
1327,Atalanta,Cagliari,0,1,A
1328,Chievo Verona,Empoli,0,0,D
1329,Fiorentina,Udinese,1,0,H
1330,Lazio,Frosinone,1,0,H
1331,Sampdoria,Napoli,3,0,H
1332,Sassuolo,Genoa,5,3,H
1333,Torino,Spal,1,0,H
1334,Frosinone,Sampdoria,0,5,A
1335,Inter,Parma,0,1,A
1336,Napoli,Fiorentina,1,0,H
1337,Cagliari,Milan,1,1,D
1338,Empoli,Lazio,0,1,A
1339,Genoa,Bologna,1,0,H
1340,Juventus,Sassuolo,2,1,H
1341,Roma,Chievo Verona,2,2,D
1342,Udinese,Torino,1,1,D
1343,Spal,Atalanta,2,0,H
1344,Sampdoria,Fiorentina,1,1,D
1345,Sassuolo,Empoli,3,1,H
1346,Fiorentina,Spal,3,0,H
1347,Parma,Cagliari,2,0,H
1348,Sampdoria,Inter,0,1,A
1349,Bologna,Roma,2,0,H
1350,Chievo Verona,Udinese,0,2,A
1351,Frosinone,Juventus,0,2,A
1352,Lazio,Genoa,4,1,H
1353,Milan,Atalanta,2,2,D
1354,Torino,Napoli,1,3,A
1355,Inter,Fiorentina,2,1,H
1356,Atalanta,Torino,0,0,D
1357,Cagliari,Sampdoria,0,0,D
1358,Genoa,Chievo Verona,2,0,H
1359,Juventus,Bologna,2,0,H
1360,Napoli,Parma,3,0,H
1361,Roma,Frosinone,4,0,H
1362,Udinese,Lazio,1,2,A
1363,Empoli,Milan,1,1,D
1364,Spal,Sassuolo,0,2,A
1365,Inter,Cagliari,2,0,H
1366,Juventus,Napoli,3,1,H
1367,Roma,Lazio,3,1,H
1368,Bologna,Udinese,2,1,H
1369,Chievo Verona,Torino,0,1,A
1370,Fiorentina,Atalanta,2,0,H
1371,Frosinone,Genoa,1,2,A
1372,Parma,Empoli,1,0,H
1373,Sassuolo,Milan,1,4,A
1374,Sampdoria,Spal,2,1,H
1375,Torino,Frosinone,3,2,H
1376,Cagliari,Bologna,2,0,H
1377,Empoli,Roma,0,2,A
1378,Udinese,Juventus,0,2,A
1379,Atalanta,Sampdoria,0,1,A
1380,Genoa,Parma,1,3,A
1381,Lazio,Fiorentina,1,0,H
1382,Milan,Chievo Verona,3,1,H
1383,Napoli,Sassuolo,2,0,H
1384,Spal,Inter,1,2,A
1385,Juventus,Genoa,1,1,D
1386,Roma,Spal,0,2,A
1387,Udinese,Napoli,0,3,A
1388,Bologna,Torino,2,2,D
1389,Chievo Verona,Atalanta,1,5,A
1390,Fiorentina,Cagliari,1,1,D
1391,Frosinone,Empoli,3,3,D
1392,Inter,Milan,1,0,H
1393,Parma,Lazio,0,2,A
1394,Sampdoria,Sassuolo,0,0,D
1395,Atalanta,Parma,3,0,H
1396,Empoli,Juventus,1,2,A
1397,Torino,Fiorentina,1,1,D
1398,Cagliari,Chievo Verona,2,1,H
1399,Genoa,Udinese,2,2,D
1400,Milan,Sampdoria,3,2,H
1401,Napoli,Roma,1,1,D
1402,Sassuolo,Bologna,2,2,D
1403,Spal,Frosinone,0,3,A
1404,Lazio,Inter,0,3,A
1405,Milan,Genoa,2,1,H
1406,Napoli,Empoli,5,1,H
1407,Fiorentina,Roma,1,1,D
1408,Inter,Genoa,5,0,H
1409,Juventus,Cagliari,3,1,H
1410,Bologna,Atalanta,1,2,A
1411,Chievo Verona,Sassuolo,0,2,A
1412,Lazio,Spal,4,1,H
1413,Parma,Frosinone,0,0,D
1414,Sampdoria,Torino,1,4,A
1415,Udinese,Milan,0,1,A
1416,Frosinone,Fiorentina,1,1,D
1417,Genoa,Napoli,1,2,A
1418,Spal,Cagliari,2,2,D
1419,Torino,Parma,1,2,A
1420,Atalanta,Inter,4,1,H
1421,Chievo Verona,Bologna,2,2,D
1422,Empoli,Udinese,2,1,H
1423,Milan,Juventus,0,2,A
1424,Roma,Sampdoria,4,1,H
1425,Sassuolo,Lazio,1,1,D
1426,Inter,Frosinone,3,0,H
1427,Juventus,Spal,2,0,H
1428,Udinese,Roma,1,0,H
1429,Bologna,Fiorentina,0,0,D
1430,Empoli,Atalanta,3,2,H
1431,Genoa,Sampdoria,1,1,D
1432,Lazio,Milan,1,1,D
1433,Napoli,Chievo Verona,0,0,D
1434,Parma,Sassuolo,2,1,H
1435,Cagliari,Torino,0,0,D
1436,Fiorentina,Juventus,0,3,A
1437,Sampdoria,Bologna,4,1,H
1438,Spal,Empoli,2,2,D
1439,Chievo Verona,Lazio,1,1,D
1440,Frosinone,Cagliari,1,1,D
1441,Milan,Parma,2,1,H
1442,Roma,Inter,2,2,D
1443,Sassuolo,Udinese,0,0,D
1444,Torino,Genoa,2,1,H
1445,Atalanta,Napoli,1,2,A
1446,Juventus,Inter,1,0,H
1447,Cagliari,Roma,2,2,D
1448,Lazio,Sampdoria,2,2,D
1449,Napoli,Frosinone,4,0,H
1450,Empoli,Bologna,2,1,H
1451,Genoa,Spal,1,1,D
1452,Milan,Torino,0,0,D
1453,Parma,Chievo Verona,1,1,D
1454,Sassuolo,Fiorentina,3,3,D
1455,Udinese,Atalanta,1,3,A
1456,Inter,Udinese,1,0,H
1457,Torino,Juventus,0,1,A
1458,Cagliari,Napoli,0,1,A
1459,Fiorentina,Empoli,3,1,H
1460,Frosinone,Sassuolo,0,2,A
1461,Roma,Genoa,3,2,H
1462,Sampdoria,Parma,2,0,H
1463,Spal,Chievo Verona,0,0,D
1464,Atalanta,Lazio,1,0,H
1465,Bologna,Milan,0,0,D
1466,Chievo Verona,Inter,1,1,D
1467,Empoli,Sampdoria,2,4,A
1468,Genoa,Atalanta,3,1,H
1469,Juventus,Roma,1,0,H
1470,Lazio,Cagliari,3,1,H
1471,Milan,Fiorentina,0,1,A
1472,Napoli,Spal,1,0,H
1473,Parma,Bologna,0,0,D
1474,Sassuolo,Torino,1,1,D
1475,Udinese,Frosinone,1,1,D
1476,Atalanta,Juventus,2,2,D
1477,Bologna,Lazio,0,2,A
1478,Cagliari,Genoa,1,0,H
1479,Fiorentina,Parma,0,1,A
1480,Frosinone,Milan,0,0,D
1481,Inter,Napoli,1,0,H
1482,Roma,Sassuolo,3,1,H
1483,Sampdoria,Chievo Verona,2,0,H
1484,Spal,Udinese,0,0,D
1485,Torino,Empoli,3,0,H
1486,Chievo Verona,Frosinone,1,0,H
1487,Empoli,Inter,0,1,A
1488,Genoa,Fiorentina,0,0,D
1489,Juventus,Sampdoria,2,1,H
1490,Lazio,Torino,1,1,D
1491,Milan,Spal,2,1,H
1492,Napoli,Bologna,3,2,H
1493,Parma,Roma,0,2,A
1494,Sassuolo,Atalanta,2,6,A
1495,Udinese,Cagliari,2,0,H
1496,Inter,Sassuolo,0,0,D
1497,Roma,Torino,3,2,H
1498,Udinese,Parma,1,2,A
1499,Cagliari,Empoli,2,2,D
1500,Fiorentina,Sampdoria,3,3,D
1501,Frosinone,Atalanta,0,5,A
1502,Napoli,Lazio,2,1,H
1503,Spal,Bologna,1,1,D
1504,Genoa,Milan,0,2,A
1505,Juventus,Chievo Verona,3,0,H
1506,Milan,Napoli,0,0,D
1507,Sampdoria,Udinese,4,0,H
1508,Sassuolo,Cagliari,3,0,H
1509,Atalanta,Roma,3,3,D
1510,Bologna,Frosinone,0,4,A
1511,Chievo Verona,Fiorentina,3,4,A
1512,Lazio,Juventus,1,2,A
1513,Parma,Spal,2,3,A
1514,Torino,Inter,1,0,H
1515,Empoli,Genoa,1,3,A
1516,Empoli,Chievo Verona,2,2,D
1517,Juventus,Parma,3,3,D
1518,Napoli,Sampdoria,3,0,H
1519,Genoa,Sassuolo,1,1,D
1520,Inter,Bologna,0,1,A
1521,Roma,Milan,1,1,D
1522,Spal,Torino,0,0,D
1523,Udinese,Fiorentina,1,1,D
1524,Cagliari,Atalanta,0,1,A
1525,Frosinone,Lazio,0,1,A
1526,Lazio,Empoli,1,0,H
1527,Chievo Verona,Roma,0,3,A
1528,Fiorentina,Napoli,0,0,D
1529,Parma,Inter,0,1,A
1530,Atalanta,Spal,2,1,H
1531,Bologna,Genoa,1,1,D
1532,Milan,Cagliari,3,0,H
1533,Sampdoria,Frosinone,0,1,A
1534,Sassuolo,Juventus,0,3,A
1535,Torino,Udinese,1,0,H
1536,Juventus,Frosinone,3,0,H
1537,Atalanta,Milan,1,3,A
1538,Cagliari,Parma,2,1,H
1539,Empoli,Sassuolo,3,0,H
1540,Genoa,Lazio,2,1,H
1541,Inter,Sampdoria,2,1,H
1542,Napoli,Torino,0,0,D
1543,Spal,Fiorentina,1,4,A
1544,Udinese,Chievo Verona,1,0,H
1545,Roma,Bologna,2,1,H
1546,Milan,Empoli,3,0,H
1547,Frosinone,Roma,2,3,A
1548,Torino,Atalanta,2,0,H
1549,Bologna,Juventus,0,1,A
1550,Chievo Verona,Genoa,0,0,D
1551,Fiorentina,Inter,3,3,D
1552,Parma,Napoli,0,4,A
1553,Sampdoria,Cagliari,1,0,H
1554,Sassuolo,Spal,1,1,D
1555,Cagliari,Inter,2,1,H
1556,Empoli,Parma,3,3,D
1557,Lazio,Roma,3,0,H
1558,Milan,Sassuolo,1,0,H
1559,Atalanta,Fiorentina,3,1,H
1560,Genoa,Frosinone,0,0,D
1561,Napoli,Juventus,1,2,A
1562,Spal,Sampdoria,1,2,A
1563,Torino,Chievo Verona,3,0,H
1564,Udinese,Bologna,2,1,H
1565,Juventus,Udinese,4,1,H
1566,Chievo Verona,Milan,1,2,A
1567,Parma,Genoa,1,0,H
1568,Bologna,Cagliari,2,0,H
1569,Fiorentina,Lazio,1,1,D
1570,Frosinone,Torino,1,2,A
1571,Inter,Spal,2,0,H
1572,Sampdoria,Atalanta,1,2,A
1573,Sassuolo,Napoli,1,1,D
1574,Roma,Empoli,2,1,H
1575,Cagliari,Fiorentina,2,1,H
1576,Sassuolo,Sampdoria,3,5,A
1577,Spal,Roma,2,1,H
1578,Torino,Bologna,2,3,A
1579,Atalanta,Chievo Verona,1,1,D
1580,Empoli,Frosinone,2,1,H
1581,Genoa,Juventus,2,0,H
1582,Lazio,Parma,4,1,H
1583,Milan,Inter,2,3,A
1584,Napoli,Udinese,4,2,H
1585,Chievo Verona,Cagliari,0,3,A
1586,Juventus,Empoli,1,0,H
1587,Sampdoria,Milan,1,0,H
1588,Udinese,Genoa,2,0,H
1589,Bologna,Sassuolo,2,1,H
1590,Fiorentina,Torino,1,1,D
1591,Frosinone,Spal,0,1,A
1592,Inter,Lazio,0,1,A
1593,Parma,Atalanta,1,3,A
1594,Roma,Napoli,1,4,A
1595,Cagliari,Juventus,0,2,A
1596,Milan,Udinese,1,1,D
1597,Empoli,Napoli,2,1,H
1598,Frosinone,Parma,3,2,H
1599,Genoa,Inter,0,4,A
1600,Roma,Fiorentina,2,2,D
1601,Spal,Lazio,1,0,H
1602,Torino,Sampdoria,2,1,H
1603,Atalanta,Bologna,4,1,H
1604,Sassuolo,Chievo Verona,4,0,H
1605,Juventus,Milan,2,1,H
1606,Parma,Torino,0,0,D
1607,Sampdoria,Roma,0,1,A
1608,Cagliari,Spal,2,1,H
1609,Fiorentina,Frosinone,0,1,A
1610,Inter,Atalanta,0,0,D
1611,Lazio,Sassuolo,2,2,D
1612,Napoli,Genoa,1,1,D
1613,Udinese,Empoli,3,2,H
1614,Bologna,Chievo Verona,3,0,H
1615,Milan,Lazio,1,0,H
1616,Roma,Udinese,1,0,H
1617,Spal,Juventus,2,1,H
1618,Chievo Verona,Napoli,1,3,A
1619,Fiorentina,Bologna,0,0,D
1620,Frosinone,Inter,1,3,A
1621,Sampdoria,Genoa,2,0,H
1622,Sassuolo,Parma,0,0,D
1623,Torino,Cagliari,1,1,D
1624,Atalanta,Empoli,0,0,D
1625,Lazio,Udinese,2,0,H
1626,Bologna,Sampdoria,3,0,H
1627,Cagliari,Frosinone,1,0,H
1628,Empoli,Spal,2,4,A
1629,Genoa,Torino,0,1,A
1630,Inter,Roma,1,1,D
1631,Juventus,Fiorentina,2,1,H
1632,Lazio,Chievo Verona,1,2,A
1633,Parma,Milan,1,1,D
1634,Udinese,Sassuolo,1,1,D
1635,Napoli,Atalanta,1,2,A
1636,Bologna,Empoli,3,1,H
1637,Inter,Juventus,1,1,D
1638,Roma,Cagliari,3,0,H
1639,Chievo Verona,Parma,1,1,D
1640,Frosinone,Napoli,0,2,A
1641,Sampdoria,Lazio,1,2,A
1642,Spal,Genoa,1,1,D
1643,Torino,Milan,2,0,H
1644,Atalanta,Udinese,2,0,H
1645,Fiorentina,Sassuolo,0,1,A
1646,Juventus,Torino,1,1,D
1647,Chievo Verona,Spal,0,4,A
1648,Udinese,Inter,0,0,D
1649,Empoli,Fiorentina,1,0,H
