,HomeTeam,AwayTeam,FTHG,FTAG,FTR
218,Club Brugge KV,Sint-Truidense VV,1,0,H
219,KV Kortrijk,KSV Cercle Brugge,2,1,H
220,KV Oostende,Waasland-Beveren,1,1,D
221,Royal Antwerp FC,KAS Eupen,2,1,H
222,Sporting Lokeren,RSC Anderlecht,1,2,A
223,SV Zulte-Waregem,KAA Gent,1,3,A
224,RSC Anderlecht,KV Kortrijk,2,0,H
225,Royal Antwerp FC,Sporting de Charleroi,1,2,A
226,KSV Cercle Brugge,Standard de Liège,1,2,A
227,KAS Eupen,Club Brugge KV,0,4,A
228,KRC Genk,Sporting Lokeren,1,0,H
229,KAA Gent,KV Oostende,2,1,H
230,Royal Excel Mouscron,Sint-Truidense VV,1,1,D
231,Waasland-Beveren,SV Zulte-Waregem,1,1,D
232,Sporting de Charleroi,KAS Eupen,1,2,A
233,Club Brugge KV,Royal Excel Mouscron,1,2,A
234,KV Kortrijk,Royal Antwerp FC,2,0,H
235,Sporting Lokeren,KSV Cercle Brugge,3,1,H
236,KV Oostende,RSC Anderlecht,0,2,A
237,Sint-Truidense VV,KAA Gent,0,2,A
238,Standard de Liège,Waasland-Beveren,4,3,H
239,SV Zulte-Waregem,KRC Genk,3,3,D
240,FC Bayern München,TSG 1899 Hoffenheim,3,1,H
241,Fortuna Düsseldorf,FC Augsburg,1,2,A
242,SC Freiburg,Eintracht Frankfurt,0,2,A
243,Hertha BSC,1. FC Nürnberg,1,0,H
244,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,0,H
245,SV Werder Bremen,Hannover 96,1,1,D
246,VfL Wolfsburg,FC Schalke 04 04,2,1,H
247,Borussia Dortmund,RB Leipzig,4,1,H
248,1. FSV Mainz 05,VfB Stuttgart,1,0,H
249,Hannover 96,Borussia Dortmund,0,0,D
250,FC Augsburg,Borussia Mönchengladbach,1,1,D
251,Eintracht Frankfurt,SV Werder Bremen,1,2,A
252,TSG 1899 Hoffenheim,SC Freiburg,3,1,H
253,Bayer 04 Leverkusen,VfL Wolfsburg,1,3,A
254,1. FC Nürnberg,1. FSV Mainz 05,1,1,D
255,VfB Stuttgart,FC Bayern München,0,3,A
256,RB Leipzig,Fortuna Düsseldorf,1,1,D
257,FC Schalke 04 04,Hertha BSC,0,2,A
258,Borussia Dortmund,Eintracht Frankfurt,3,1,H
259,FC Bayern München,Bayer 04 Leverkusen,3,1,H
260,Fortuna Düsseldorf,TSG 1899 Hoffenheim,2,1,H
261,1. FSV Mainz 05,FC Augsburg,2,1,H
262,Borussia Mönchengladbach,FC Schalke 04 04,2,1,H
263,RB Leipzig,Hannover 96,3,2,H
264,VfL Wolfsburg,Hertha BSC,2,2,D
265,SC Freiburg,VfB Stuttgart,3,3,D
266,SV Werder Bremen,1. FC Nürnberg,1,1,D
267,VfB Stuttgart,Fortuna Düsseldorf,0,0,D
268,FC Augsburg,SV Werder Bremen,2,3,A
269,Hertha BSC,Borussia Mönchengladbach,4,2,H
270,TSG 1899 Hoffenheim,Borussia Dortmund,1,1,D
271,1. FC Nürnberg,Hannover 96,2,0,H
272,FC Schalke 04 04,FC Bayern München,0,2,A
273,VfL Wolfsburg,SC Freiburg,1,3,A
274,Eintracht Frankfurt,RB Leipzig,1,1,D
275,Bayer 04 Leverkusen,1. FSV Mainz 05,1,0,H
276,FC Bayern München,FC Augsburg,1,1,D
277,SC Freiburg,FC Schalke 04 04,1,0,H
278,Hannover 96,TSG 1899 Hoffenheim,1,3,A
279,SV Werder Bremen,Hertha BSC,3,1,H
280,Borussia Dortmund,1. FC Nürnberg,7,0,H
281,Fortuna Düsseldorf,Bayer 04 Leverkusen,1,2,A
282,1. FSV Mainz 05,VfL Wolfsburg,0,0,D
283,Borussia Mönchengladbach,Eintracht Frankfurt,3,1,H
284,RB Leipzig,VfB Stuttgart,2,0,H
285,Hertha BSC,FC Bayern München,2,0,H
286,TSG 1899 Hoffenheim,RB Leipzig,1,2,A
287,Bayer 04 Leverkusen,Borussia Dortmund,2,4,A
288,1. FC Nürnberg,Fortuna Düsseldorf,3,0,H
289,FC Schalke 04 04,1. FSV Mainz 05,1,0,H
290,VfB Stuttgart,SV Werder Bremen,2,1,H
291,VfL Wolfsburg,Borussia Mönchengladbach,2,2,D
292,FC Augsburg,SC Freiburg,4,1,H
293,Eintracht Frankfurt,Hannover 96,4,1,H
294,SV Werder Bremen,VfL Wolfsburg,2,0,H
295,FC Bayern München,Borussia Mönchengladbach,0,3,A
296,Borussia Dortmund,FC Augsburg,4,3,H
297,Fortuna Düsseldorf,FC Schalke 04 04,0,2,A
298,Hannover 96,VfB Stuttgart,3,1,H
299,1. FSV Mainz 05,Hertha BSC,0,0,D
300,SC Freiburg,Bayer 04 Leverkusen,0,0,D
301,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,2,A
302,RB Leipzig,1. FC Nürnberg,6,0,H
